Date,Max Sharpe Portfolio,Min Volatility Portfolio,Equal Weight Portfolio
2025-01-03,0.0,0.0,0.0
2025-01-06,0.0,0.0,0.0
2025-01-07,0.0,-0.8383853365586643,-0.6810699002873463
2025-01-08,-0.8172756634346862,-0.7554682332683247,-1.5194240680937383
2025-01-10,-2.471347730111139,-2.2036535643126487,-2.864935642091833
2025-01-13,-2.07924861029972,-2.610963264624827,-3.137823957051183
2025-01-14,-1.9373784159034073,-2.6407209117494066,-3.306870205699285
2025-01-15,0.0,-0.15156469539552347,-0.27833410186529217
2025-01-16,-0.6903584277637416,-0.835706740010764,-1.4608331971105426
2025-01-17,0.0,0.0,0.0
2025-01-21,0.0,0.0,0.0
2025-01-22,0.0,0.0,0.0
2025-01-23,0.0,0.0,0.0
2025-01-24,0.0,0.0,0.0
2025-01-27,-1.7131066242032331,-0.6452516637618093,-0.22973333189797934
2025-01-28,-1.3207841238847646,0.0,0.0
2025-01-29,-0.9029948234896055,-0.159902714050624,0.0
2025-01-30,0.0,-1.1824422502685152,0.0
2025-01-31,0.0,-1.1312110146442877,0.0
2025-02-03,-1.13576785363398,-1.6197072056594652,-0.7285498811562298
2025-02-04,-0.7262345708877704,-1.016778017368465,-0.40073396577519504
2025-02-05,-3.020074142961103,-1.625694154619462,-1.047962443784132
2025-02-06,-1.946864750437935,-1.5819897999619068,-1.011527519465908
2025-02-07,-3.591832446654329,-2.7794705673636306,-2.1064313686478475
2025-02-10,-3.827184278843871,-2.1994688116247576,-2.162553522547429
2025-02-11,-3.4171823543923203,-2.0209483398493133,-0.980314263495795
2025-02-12,-3.0606951417061476,-1.9483846671600276,0.0
2025-02-13,-2.0912795817353627,-1.0290440663987221,0.0
2025-02-14,-1.069775563200503,-1.2706261296000725,0.0
2025-02-18,-0.933072191307005,-0.9171232070962241,0.0
2025-02-19,-1.0096275867893856,-0.5224419427907604,-0.17724055514025372
2025-02-20,-2.6352263963674467,-0.9300063849263036,-1.2996466082314868
2025-02-21,-4.860850414169471,-2.3425569179163497,-3.2303057617392468
2025-02-24,-5.610546541583532,-2.6223997757236748,-4.065413076164038
2025-02-25,-6.738266641967629,-3.310768858706454,-5.059465062180788
2025-02-26,-6.930227906127541,-3.740415643429623,-5.142466433176243
2025-02-27,-8.272470507979527,-4.471135938157744,-6.792814497074573
2025-02-28,-7.086492110786531,-3.0429727552077797,-5.455590046179632
2025-03-03,-9.470597306711731,-4.451644323517185,-7.6439340252429515
2025-03-04,-10.953546083422147,-5.138070758882975,-8.677428777688046
2025-03-05,-10.019622305336268,-3.7847677318987083,-7.415977132360458
2025-03-06,-11.556666258823531,-5.106154043146289,-8.900506612886762
2025-03-07,-11.010234145275879,-4.952323585262305,-8.176567727192676
2025-03-10,-14.461662474871325,-7.671107304105342,-11.216958155572925
2025-03-11,-15.394229824945171,-9.045894489191049,-12.679857987593248
2025-03-12,-14.57952493810612,-8.617363740172497,-12.307895202911885
2025-03-13,-16.155608578206785,-10.15355977048084,-14.193673401031942
2025-03-14,-14.464465337857416,-8.517206826056963,-12.278754323469462
2025-03-17,-13.95050479817011,-8.259395645446967,-11.740182038378881
2025-03-18,-14.691073813456612,-9.072995638460508,-12.693795955180503
2025-03-19,-13.29911262400807,-7.815858692095039,-11.74037534962887
2025-03-20,-13.438582608836084,-8.086359512239826,-11.977945413350689
2025-03-21,-13.016322387410998,-7.759711763143547,-11.226819806534168
2025-03-24,-10.824709650646785,-6.269829208128727,-9.227881695913986
2025-03-25,-10.037505555844604,-5.658281642946884,-8.73100304178054
2025-03-26,-11.90782408672209,-6.760740729847059,-10.090097582501713
2025-03-27,-13.135126711680256,-6.392634108094058,-10.605288448358555
2025-03-28,-16.040900940768786,-9.121842216297985,-13.405778680424682
2025-03-31,-15.476436777683567,-8.489609872126014,-12.862919290967302
2025-04-01,-15.308973445706398,-8.049082512501347,-12.712752493655097
2025-04-02,-14.567309984036713,-7.954930055389436,-12.090880130241228
2025-04-03,-20.932847660537714,-11.14764266251949,-17.904276217089308
2025-04-04,-25.621470867775777,-16.0560618636369,-22.956106109345324
2025-04-07,-24.990552224618863,-16.4249368426583,-22.741181452767652
2025-04-08,-25.95771331823822,-17.763949949313425,-24.459591517056996
2025-04-09,-18.35797410954198,-9.570242474330485,-15.176472103514266
2025-04-10,-21.59795998479153,-12.183954803142537,-18.802638854775953
2025-04-11,-20.483142598122733,-10.06461999858525,-17.68680296370193
2025-04-14,-19.222898227415428,-9.555622004687072,-17.083341729572766
2025-04-15,-19.319966505977654,-9.937697989948473,-17.46489971083204
2025-04-16,-21.5865420457031,-12.297522369523632,-20.202364170164614
2025-04-17,-21.475599653935024,-12.82508790370948,-20.1602337853808
2025-04-21,-22.847648956464724,-14.969530203915923,-21.84827106167501
2025-04-22,-20.73186569163186,-12.567565203586039,-19.731475374564702
2025-04-23,-18.6479396372534,-10.958764926417041,-17.543986678608977
2025-04-24,-16.477688370012746,-9.086289868865952,-15.266846964549813
2025-04-25,-15.682557336217457,-8.44132890031829,-14.432678952818087
2025-04-28,-15.974510422951626,-8.35727204358167,-14.412928867528851
2025-04-29,-15.754734797603454,-7.739549896060473,-14.138956167241673
2025-04-30,-16.124142832723386,-7.32701075939253,-14.047989383322312
2025-05-01,-15.566059071363842,-4.817089533055607,-12.464856309929557
2025-05-02,-13.509019782430673,-3.4783090406530466,-10.816449200125179
2025-05-05,-13.503932539263308,-3.604104940708007,-11.234882073468826
2025-05-06,-14.304622640143409,-4.10881422958576,-12.187037178601996
2025-05-07,-16.29619816342638,-5.037956690295253,-12.68151338407177
2025-05-08,-14.861434307746716,-4.127857747893116,-11.672701357082236
2025-05-09,-15.192983937346325,-4.05337612924921,-11.665100527353818
2025-05-12,-11.52353931442313,-1.5021815130555103,-7.4485525247988225
2025-05-13,-10.780985269268626,-1.1539339738618077,-6.50567855818987
2025-05-14,-9.538212800935346,-0.2758769495760636,-5.800041144369205
2025-05-15,-9.5500114810703,0.0,-6.080627232481173
2025-05-16,-9.123226524956994,0.0,-5.888171261981778
2025-05-19,-8.882976128534505,0.0,-5.8438972881168905
2025-05-20,-9.607690513839659,-0.4943340022933488,-6.347644502326473
2025-05-21,-10.204707238804293,-1.6390718199213374,-7.696746391790196
2025-05-22,-9.765027611551764,-1.3310406384476188,-7.581203757558705
2025-05-23,-10.796783384833741,-2.691307056408526,-9.04936211851215
2025-05-27,-8.382299304637266,-0.5960384081459488,-6.911419182530314
2025-05-28,-8.760189827216221,-0.8720067202241657,-7.2174209532741855
2025-05-29,-8.54540637723627,-0.5602197697847111,-6.970384573569512
2025-05-30,-8.766783848715388,-0.1847488389488457,-7.15520472477076
2025-06-02,-8.992617434794898,-0.19995753946922867,-6.648728254202557
2025-06-03,-9.085577500906233,-0.20312783355539904,-6.320574323225943
2025-06-04,-8.484232509425164,0.0,-5.389695495676542
2025-06-05,-8.414805622869148,0.0,-5.546272529951573
2025-06-06,-6.299779608564711,0.0,-4.064424499627999
2025-06-09,-5.784649227189998,-0.01778555137378861,-3.933886905324566
2025-06-10,-5.009720797308403,0.0,-3.030652240867358
2025-06-11,-5.281850735335463,0.0,-3.6696155718322436
2025-06-12,-5.828081704221173,0.0,-3.9308297215433545
2025-06-13,-7.584846006968659,-2.3738734303896685,-5.961269351980563
2025-06-16,-6.03859357251642,-1.4335633493945514,-4.4345525353763255
2025-06-17,-6.712371853382179,-1.5573048455606067,-5.212199204402607
2025-06-18,-7.087967460612164,-3.225490065256854,-5.60690625058811
2025-06-20,-8.441618442969304,-3.978993539180966,-6.094288001593961
2025-06-23,-8.05436668129938,-2.8930342763088674,-5.049370090087688
2025-06-24,-6.531259093316296,-1.6342863670462515,-3.634314354373977
2025-06-25,-5.218510546265227,-1.6911822938420946,-3.412044332238046
2025-06-26,-3.708259380336147,-0.9553072926961049,-2.3421083260929887
2025-06-27,-2.5784850322375674,-0.35974325414977454,-1.8531515204596913
2025-06-30,-2.5583636977741957,0.0,-1.3201044617172442
2025-07-01,-1.9610675834120295,-0.19605820046058522,-1.016804171788498
2025-07-02,-1.095654960318551,0.0,-0.545923582273226
2025-07-03,0.0,0.0,0.0
2025-07-07,-1.3396593472583107,-0.7562095157822178,-1.07786014898402
2025-07-08,-2.335424407275073,-1.1499636181097717,-0.6807203184041788
2025-07-09,-1.690216329586619,-0.10840811413012696,-0.0484467321627632
2025-07-10,-0.916143651019526,-0.2643856442647279,0.0
2025-07-11,-0.7309317927467538,-0.7696836814626918,-0.39263498156565146
2025-07-14,-0.19895141049967585,-0.5534201765539166,-0.4687379140220881
2025-07-15,0.0,-0.6128479321038741,-0.17905848006167607
2025-07-16,-0.05740958749630707,-0.23638830180511997,-0.2462225782412131
2025-07-17,0.0,0.0,0.0
2025-07-18,0.0,-0.006216565544114064,0.0
2025-07-21,0.0,0.0,0.0
2025-07-22,0.0,-0.05390656367036009,0.0
2025-07-23,0.0,0.0,0.0
2025-07-24,-0.0018787410297300981,0.0,-0.17718467971183446
2025-07-25,0.0,0.0,0.0
2025-07-28,-0.23302322014069018,-0.24624814946183343,0.0
2025-07-29,-0.26324550980993283,-0.5806632080403508,-0.7467548443923657
2025-07-30,0.0,-0.6409460921853807,-1.049817156634276
2025-07-31,-1.9314952391306262,-0.23768228372522196,-0.5994475112614566
2025-08-01,-3.7039011490997886,-2.0445285001860913,-2.6821398340084506
2025-08-04,-2.0383398585459442,-0.4481880560138307,-1.2943897018756545
2025-08-05,-3.133595551354265,-1.693726875015212,-3.3907422536257794
2025-08-06,-2.228738246813123,-0.9888991505233717,-2.0653826989410424
2025-08-07,-2.897385408676659,-1.7917231577509523,-2.8070055162264245
2025-08-08,-1.056997790593245,-0.4045610131933625,-1.275866120086344
2025-08-11,-1.506025146732211,-0.6762270611444502,-1.8864019329041086
2025-08-12,0.0,0.0,0.0
2025-08-13,-0.4405669051926471,0.0,0.0
2025-08-14,0.0,0.0,0.0
2025-08-15,-0.5624149469141216,-0.2590848218115097,-0.33200085408357477
2025-08-18,-0.40978366598587507,-0.6822890750513771,-0.5176488448114109
2025-08-19,-1.163855046529557,-1.4253896016543293,-1.4677904594578648
2025-08-20,-1.9180762784128293,-1.9376150309898372,-2.1944592962091867
2025-08-21,-2.2017544862154614,-2.0635418434113677,-2.6864560526807866
2025-08-22,0.0,-0.4522096470793845,-0.22716216364113265
2025-08-25,0.0,-0.6335952470935087,-0.3236921737023524
2025-08-26,-0.006454551724309125,-0.5815338347831172,-0.38085066475512686
2025-08-27,0.0,-0.24456809231793966,-0.07315485621585067
2025-08-28,0.0,0.0,0.0
