,Date,Portfolio,Benchmark,Beta
0,2025-02-19,Max Sharpe Portfolio,SPY,1.1539246423728058
1,2025-02-20,Max Sharpe Portfolio,SPY,1.173196424984586
2,2025-02-21,Max Sharpe Portfolio,SPY,1.1708139127099733
3,2025-02-24,Max Sharpe Portfolio,SPY,1.286362751794465
4,2025-02-25,Max Sharpe Portfolio,SPY,1.295967398797925
5,2025-02-26,Max Sharpe Portfolio,SPY,1.345557630076452
6,2025-02-27,Max Sharpe Portfolio,SPY,1.3448425138920888
7,2025-02-28,Max Sharpe Portfolio,SPY,1.2812342532794347
8,2025-03-03,Max Sharpe Portfolio,SPY,1.037578904829644
9,2025-03-04,Max Sharpe Portfolio,SPY,1.0854969168649542
10,2025-03-05,Max Sharpe Portfolio,SPY,1.0530464340983736
11,2025-03-06,Max Sharpe Portfolio,SPY,1.0397867422915836
12,2025-03-07,Max Sharpe Portfolio,SPY,1.028370166899504
13,2025-03-10,Max Sharpe Portfolio,SPY,1.0431227444309787
14,2025-03-11,Max Sharpe Portfolio,SPY,1.1210123341125613
15,2025-03-12,Max Sharpe Portfolio,SPY,1.1225048273388327
16,2025-03-13,Max Sharpe Portfolio,SPY,1.1529774472872494
17,2025-03-14,Max Sharpe Portfolio,SPY,1.165140090274921
18,2025-03-17,Max Sharpe Portfolio,SPY,1.119520315709137
19,2025-03-18,Max Sharpe Portfolio,SPY,1.1304361573255768
20,2025-03-19,Max Sharpe Portfolio,SPY,1.1135171718693353
21,2025-03-20,Max Sharpe Portfolio,SPY,1.1389324557272043
22,2025-03-21,Max Sharpe Portfolio,SPY,1.1818330140389974
23,2025-03-24,Max Sharpe Portfolio,SPY,1.1729593458177927
24,2025-03-25,Max Sharpe Portfolio,SPY,1.190118121531331
25,2025-03-26,Max Sharpe Portfolio,SPY,1.217629288929539
26,2025-03-27,Max Sharpe Portfolio,SPY,1.2302115316605322
27,2025-03-28,Max Sharpe Portfolio,SPY,1.2348784790166867
28,2025-03-31,Max Sharpe Portfolio,SPY,1.27182288469767
29,2025-04-01,Max Sharpe Portfolio,SPY,1.2631867876898055
30,2025-04-02,Max Sharpe Portfolio,SPY,1.2641773036346071
31,2025-04-03,Max Sharpe Portfolio,SPY,1.2716643265855148
32,2025-04-04,Max Sharpe Portfolio,SPY,1.3449210543793844
33,2025-04-07,Max Sharpe Portfolio,SPY,1.2261834670157752
34,2025-04-08,Max Sharpe Portfolio,SPY,1.2309507170178684
35,2025-04-09,Max Sharpe Portfolio,SPY,1.2236299126460113
36,2025-04-10,Max Sharpe Portfolio,SPY,1.0944337976656844
37,2025-04-11,Max Sharpe Portfolio,SPY,1.0794582898331844
38,2025-04-14,Max Sharpe Portfolio,SPY,1.0781669293709806
39,2025-04-15,Max Sharpe Portfolio,SPY,1.078078379534025
40,2025-04-16,Max Sharpe Portfolio,SPY,1.0767981454778206
41,2025-04-17,Max Sharpe Portfolio,SPY,1.079805544818589
42,2025-04-21,Max Sharpe Portfolio,SPY,1.0819768962139642
43,2025-04-22,Max Sharpe Portfolio,SPY,1.0732809502763276
44,2025-04-23,Max Sharpe Portfolio,SPY,1.0632744387759165
45,2025-04-24,Max Sharpe Portfolio,SPY,1.069869943454897
46,2025-04-25,Max Sharpe Portfolio,SPY,1.0726808911960908
47,2025-04-28,Max Sharpe Portfolio,SPY,1.0707782365547303
48,2025-04-29,Max Sharpe Portfolio,SPY,1.0725934876893424
49,2025-04-30,Max Sharpe Portfolio,SPY,1.072205858473207
50,2025-05-01,Max Sharpe Portfolio,SPY,1.0735188241458862
51,2025-05-02,Max Sharpe Portfolio,SPY,1.0709959190739797
52,2025-05-05,Max Sharpe Portfolio,SPY,1.0767166374963204
53,2025-05-06,Max Sharpe Portfolio,SPY,1.0750503331998775
54,2025-05-07,Max Sharpe Portfolio,SPY,1.0702729312003838
55,2025-05-08,Max Sharpe Portfolio,SPY,1.0638926534275417
56,2025-05-09,Max Sharpe Portfolio,SPY,1.0636954820661426
57,2025-05-12,Max Sharpe Portfolio,SPY,1.0625213450432898
58,2025-05-13,Max Sharpe Portfolio,SPY,1.063221388799316
59,2025-05-14,Max Sharpe Portfolio,SPY,1.063574967132337
60,2025-05-15,Max Sharpe Portfolio,SPY,1.0632756741693248
61,2025-05-16,Max Sharpe Portfolio,SPY,1.0622496341413024
62,2025-05-19,Max Sharpe Portfolio,SPY,1.004450782463621
63,2025-05-20,Max Sharpe Portfolio,SPY,0.9976249927724635
64,2025-05-21,Max Sharpe Portfolio,SPY,1.0047708515891078
65,2025-05-22,Max Sharpe Portfolio,SPY,0.9946583806010161
66,2025-05-23,Max Sharpe Portfolio,SPY,1.0395753839889024
67,2025-05-27,Max Sharpe Portfolio,SPY,1.0995492941603027
68,2025-05-28,Max Sharpe Portfolio,SPY,1.13128989063476
69,2025-05-29,Max Sharpe Portfolio,SPY,1.1228718622974605
70,2025-05-30,Max Sharpe Portfolio,SPY,1.1237646518455577
71,2025-06-02,Max Sharpe Portfolio,SPY,1.101217992875915
72,2025-06-03,Max Sharpe Portfolio,SPY,1.0967400748569756
73,2025-06-04,Max Sharpe Portfolio,SPY,1.1665080685037121
74,2025-06-05,Max Sharpe Portfolio,SPY,1.1760588932249587
75,2025-06-06,Max Sharpe Portfolio,SPY,1.1211916559324775
76,2025-06-09,Max Sharpe Portfolio,SPY,1.1331835723558032
77,2025-06-10,Max Sharpe Portfolio,SPY,1.1282582393921945
78,2025-06-11,Max Sharpe Portfolio,SPY,1.1247981084055192
79,2025-06-12,Max Sharpe Portfolio,SPY,1.1331191269259726
80,2025-06-13,Max Sharpe Portfolio,SPY,1.1224457518304418
81,2025-06-16,Max Sharpe Portfolio,SPY,1.1609179098031144
82,2025-06-17,Max Sharpe Portfolio,SPY,1.1426686157531893
83,2025-06-18,Max Sharpe Portfolio,SPY,1.1523733318457103
84,2025-06-20,Max Sharpe Portfolio,SPY,1.1567296554860793
85,2025-06-23,Max Sharpe Portfolio,SPY,1.202294858821267
86,2025-06-24,Max Sharpe Portfolio,SPY,1.161588437967755
87,2025-06-25,Max Sharpe Portfolio,SPY,1.1695396241131366
88,2025-06-26,Max Sharpe Portfolio,SPY,1.079323955836778
89,2025-06-27,Max Sharpe Portfolio,SPY,1.1035240379143068
90,2025-06-30,Max Sharpe Portfolio,SPY,1.1167442750393985
91,2025-07-01,Max Sharpe Portfolio,SPY,1.117992881741556
92,2025-07-02,Max Sharpe Portfolio,SPY,1.1210687395075296
93,2025-07-03,Max Sharpe Portfolio,SPY,1.1261818504946575
94,2025-07-07,Max Sharpe Portfolio,SPY,1.1194971751005296
95,2025-07-08,Max Sharpe Portfolio,SPY,1.313381014073791
